,author,text,likes,published_at
100,@Harriet-j3f,Friends they are so bad😢,1,2024-04-27T10:11:51Z
101,@evannahcaxyombu5396,Adi nmelia😢,0,2024-04-26T07:37:53Z
102,@yegoelijah2608,You have a special place in hell.  It pains,0,2024-04-25T22:49:01Z
103,@joelwamae1810,The guy is so calm aky ladies sometimes consider innocent guyz,1,2024-04-17T16:12:19Z
104,@joelwamae1810,These is heartbreaking 💔 💔 your best friend never trust anyone..,0,2024-04-17T16:01:22Z
105,@IanMacharia-fy1hi,pluto kwani huwa un investigate watu kwanza ju ulifikiria aje usanitize hawa wawili likes hapa ka unaona ana investigatingi before a sanitize,0,2024-04-16T09:28:25Z
106,@belindaedung7883,Aki hii mapezi ya uwizi lazima itaisha vibaya aki marafiki wacheni tabia mbaya Allaaah,0,2024-04-05T19:13:39Z
107,@stephenchacha-mx6jh,huyo kijana sup zimemwiita juu Iano ndo humsaidia exam na adi iyo project Quevo haradi sheit namwonea 18 sasa,1,2024-03-27T11:50:41Z
108,@Richsmart-p5l,"So pain, am feel sorry niggah 😢😢",0,2024-03-26T20:21:28Z
109,@walker_43,No wonder legend tunaendanga comment,0,2024-03-26T05:03:50Z
110,@walker_43,Wait ...ati huku ma style ni ajee😂😂😂 🙌🙌🙌🙌,0,2024-03-26T04:57:40Z
111,@walker_43,Kuthukuma tena😂,0,2024-03-26T04:46:36Z
112,@walker_43,Unajua proto inakuanga aje.....leo nina shangaa😂😂😂😂😂😂😂,0,2024-03-26T04:41:01Z
113,@walker_43,Ati sufuria ilifanya nini😂😂😂,0,2024-03-26T04:34:06Z
114,@AlekiOdhiambo,bro anafanya forensic na anasaidiwa kudundua na pluto ati dem wake ana cheat,0,2024-03-21T13:17:13Z
115,@FLEVIANKIMTAI,"If another man can steal your gal,,,then she was never your girl",0,2024-03-20T21:54:37Z
116,@leonklivert2064,Piga punch azime 😂😂🫴🏾,0,2024-03-20T14:47:59Z
117,@ianbidii,hakuna masomo thika😂,0,2024-03-18T11:25:35Z
118,@YERMOOH,Weeeh that's why we single❤❤❤,1,2024-03-14T17:50:25Z
119,@e.media.7772,"Pluto trying to understand the shit....""enyewe bro hukufanya poa""",0,2024-03-14T12:25:24Z
120,@e.media.7772,"Pluto trying to understand the shit....""enyewe bro hukufanya poa""",0,2024-03-14T12:25:24Z
121,@JunkyJuice-q3s,Kam woiye,0,2024-03-13T21:31:03Z
122,@ShariffAbdulRahim,Quavo acting like he is the real quavo 😂,0,2024-03-13T11:53:06Z
123,@samuelmuikamba,It's painful,0,2024-03-09T19:01:07Z
124,@talesofkiki5099,Mtiaaaaaaaaaaaaajiiiiiiiii uuuuffffff,0,2024-02-24T09:37:17Z
125,@queenannabell-kz4jc,Waaaah it's so painful 😢😢,0,2024-02-23T16:28:35Z
126,@BeckyRicky-254,Aiiish🥰manze Iano ni mcute and i really womder how how huyo dem anaeza mcheat😞I really like his maturity,0,2024-02-21T18:14:16Z
127,@mwaurakamau8548,This is not friendship.....,0,2024-02-16T08:22:40Z
128,@nittaquniverse6412,iano kako poa very mature,0,2024-02-15T16:21:46Z
129,@samsonmwadzala9604,Na blem Ruto🤣,0,2024-02-15T05:36:50Z
130,@nesterneymer6087,wah dakika zero ashawahi,0,2024-02-13T19:55:55Z
131,@TerryImali-q6h,So sad aki😢😢😢,0,2024-02-02T18:38:02Z
132,@paulmutinda4518,In ukambani there is a name like ' Ngindi',0,2024-01-31T07:39:01Z
133,@MatuBadges,Fake Friends...Iyo N!99a Manze,0,2024-01-28T16:57:11Z
134,@CharlesMacharia-r6j,Ian is a man how comes man uyo boy ame kosea Sana,0,2024-01-25T19:44:19Z
135,@sammykanjeri7965,Haaa 😂😂😂,0,2024-01-23T10:17:18Z
136,@ivyndirangu5907,Who wants to know if this handsome man he is dating now😢😢,0,2024-01-20T21:59:59Z
137,@MajorBasket_,"Jamba ína kagoti ga ciúmbani, hamuoni kwani 😂😂",0,2024-01-17T23:59:51Z
138,@Hamster_Kombatcombo,"My ex been talking to my morio,, betrayal is real😢",0,2024-01-02T11:29:26Z
139,@Mweshbeibz,Na ako apo ana smile like nothing happened,0,2023-12-30T13:15:08Z
140,@BrendahKimanga,Iano mtoi wangu angekuwa mbig ningekupa awe wife...i feel your pain,0,2023-12-24T18:59:51Z
141,@MbitheMoki,Handsome boy  just find your match,0,2023-12-21T22:01:47Z
142,@judithhenry1977,Mm sielewi mbn watu wanaomba likes za nini hivi au mm ndo mshamba??😂,0,2023-12-04T15:09:53Z
143,@EvanceOmondi-f9q,My patience can't allow me to do such a thing. Nikuliwe dem alafu nitulie tu venye ian ametulia,0,2023-12-01T15:04:48Z
144,@faithmaina8836,"Quavo, you hit below the belt, bibi ya mtu hufai ata kumuangalia. U shld have known better bro😢",0,2023-11-29T05:49:28Z
145,@HarunKimani-kr8xm,Tunasemanga bros before hoes 😢 huyu boy alituangusha big time,0,2023-11-29T04:42:46Z
146,@africanmessi6166,Mabeshte A1 kaa macho 😂,0,2023-11-28T20:44:17Z
147,@monicanakshi3667,😂😂sanitize ya wanaume,0,2023-11-26T14:38:42Z
148,@LynSande,he even cried damn,0,2023-11-15T17:52:12Z
149,@cheptoojael,Yaani dem unacheza boy wako na mtu sura ngumu,0,2023-11-14T09:37:12Z
150,@denise1658,Hapo kwa looks Though😅😅,0,2023-11-13T20:37:51Z
151,@duncankibichii6563,Tafuta terry pluto,0,2023-11-09T04:36:27Z
152,@Bellah-c3m,"Thank you sir God sijui nikupee nini walae 🤫hii siku nilienda kutoka kwa gate (enye iko nyuma yao) kiasi nikaskia :”Naitwa pluto “ sema kuskia kama ni mimi anaambia sema kurudi nyuma mbio.  Alafu thinking was safe ng’ombe ndio hiyo na mdomo yake kubwa moooo , I was like 'Ngai mumuingilia wapi sasa?'Walae hii life naishi sio fiti koz ilibidi nimepikia watu wa shamba lunch, nitoka home after wameenda na wamemaliza like one hr na nikitoka kwanza niliangalia left , right, up and down ndio nikachomoka kwa gate mbio 😢nimeishi kutafuta hii episode 😂😂",0,2023-10-27T11:44:31Z
153,@mutisokyalo6821,Check your circle 🔴 i hate this shit,0,2023-10-22T22:40:26Z
154,@mutisokyalo6821,😂😂😂,0,2023-10-22T22:17:43Z
155,@sharonchelangat7889,"Pluto ... hold on ... hold on kiasi
Me skips faster faster🤣🤣",0,2023-10-21T10:49:14Z
156,@levoquavo4178,weeeeuweeh aty Quavo thought n mm😂😂😂😂😂,0,2023-10-20T13:14:43Z
157,@CeraMugai,"Tulisema ukikam naks ukam na tabia zako,,,ss huwa hatunatabia🤣🤣",0,2023-10-09T03:55:15Z
158,@Harshkid-Cariocherry,Uyo Morio aty Quavo Ni Umbwa,0,2023-09-28T22:14:30Z
159,@RuthMaranga-lz6mw,Ian❤,1,2023-09-24T08:39:51Z
160,@katiewaruinge,Nimeona uyu iano akanikumbusha kabro kangu kalipass😢😢they look alike,1,2023-09-14T22:33:19Z
161,@OmniGlobeNews,Hapa ni nax side gani 😅😅😅,0,2023-09-07T06:57:11Z
162,@petermakau-d5f,huyu msee ghai ady ataona huyo mwengine aje,1,2023-09-02T16:23:37Z
163,@jemeschege9210,Mapenzi ya mabeste haiendangi mbali. Walai uyo Dem ataishi kujilaumu,0,2023-08-29T20:41:07Z
164,@Linetcj-w8q,Alafu iano ni mcute kuliko that quavo guy ladies have your own principles plz,1,2023-08-24T12:26:29Z
165,@marionzellah6988,"I shed my tears😢, Iano I feel you",12,2023-08-21T09:34:28Z
166,@lucymuchina9318,I feel for you iano you will find true love huyo terry ni gaidi,2,2023-08-15T12:19:04Z
167,@streetambassador254,Lakini ladies hutaka nini. Huyu boy ako Sawa manze anaendea beshte akili ya panya.,1,2023-07-13T17:18:48Z
168,@faithnyawira9956,Hadi pluto anfeel kuchapa huyu kwevoh,1,2023-07-11T20:30:08Z
169,@faithnyawira9956,Huyu chali amwachie beshte yake manzi na asahau na wao completely,0,2023-07-11T20:26:38Z
170,@Black_ish77,mbleina ni mbleina tu,3,2023-07-06T12:49:35Z
171,@KimKimani-lp8jl,Pia nime feel bna,0,2023-07-01T20:34:55Z
172,@RockefellerPierpont-rg5vd,It's wrong for a lady to date a person whom she doesn't love. It's right for a lady to have sex and love someone who she finds worthy. It's also right for anyone to undo and amend new relationship that is marvelous. A relationship that is delightful; one that full of enjoyment. The girl is right and the new boyfriend is also right. The old boyfriend should be mature.,1,2023-06-24T15:53:14Z
173,@RockefellerPierpont-rg5vd,Pluto Acha kua judgemental. The boy has rescued the girl from agony. I respect him and his wife. He knows how to love. Some times people meet so that they can have a safe ground to approach others. It's natural.,0,2023-06-24T15:35:19Z
174,@soniaroyals,I feel for iano he deserve a better person and hes soo matured..sooo sad aki😢,4,2023-06-19T17:51:22Z
175,@soniaroyals,"Rule no 1 in life,never trust anyone and rule no 2,stick to rule no 1",0,2023-06-19T16:05:31Z
176,@MaurineMunyiri,"Mahn this really hurting😢😢nme feel the pain in iano,,,,fake friends mehn",0,2023-06-09T22:29:09Z
177,@MiliaJames,😂😂😂 weee si semi kitu,0,2023-06-01T06:09:36Z
178,@Aminaatieno-gz8qk,Oh my god,0,2023-05-27T11:39:22Z
179,@oscardenzioka0pet,😂😂😂😂😂 aty Uncle wa sanitization umeuliza aje kwaivo umkulie dem????🤣🤣🤣🤣,0,2023-05-26T22:41:07Z
180,@jefe-de-jefe,"@THEE PLUTO huyo kijana sio player, yeye ni couch🤣🤣",0,2023-05-26T15:38:39Z
181,@njapitsanare1117,walai uyu angejipata kenyatta ghai,0,2023-05-24T09:31:35Z
182,@diananafula-je9dq,"Uyu jamaa anafanana na alligator uso,,ati sa ningefanyaje nonsense",0,2023-05-23T21:24:50Z
183,@WanjiruMwangi-hn2xz,Bana...loyalty ilienda wapi??? Bro code zilihackiwa nini???,0,2023-04-27T07:15:59Z
184,@shiekhkenya9559,The boy so broken😢 his both best friends waah.....iano nikujie we ni type yangu kwanza😊,0,2023-04-18T19:21:38Z
185,@Muhammad_Kalize,me pia nilikula wa morio adi sai hajajua hii shit uhappen,0,2023-04-18T15:48:36Z
186,@bethwanjiku-to2en,"Kijana mwenye dem anamcheat Na yeye ni sura kiatu,iano usiworry",0,2023-04-12T12:27:45Z
187,@meggywambo5111,Iano is cuter n mature 😍😍all the best achana na hyo mdem she belongs to the streets,1,2023-04-05T23:54:20Z
188,@djhdhddhhdhd1441,So painful aki,0,2023-04-03T00:35:06Z
189,@AustinSifuna-vz4kl,😂😂😂moral lesson don't trust your bestie and the gals might be even worse.,0,2023-03-30T21:37:23Z
190,@winfredmwendwa2923,Betrayal in the City 😂😂😂😂,0,2023-03-30T16:14:03Z
191,@noordinkabay3276,Iano never trust any one 😊😢usijali joh i feel pain wllh 😢😢pluto you make my day😊,0,2023-03-30T13:58:25Z
192,@SaRaH_WaNjIRu,The pain😭,0,2023-03-27T20:41:59Z
193,@AdanDaud-tv5nc,Kam Nanyuki,0,2023-03-24T14:37:56Z
194,@denismutinda6574,"Walai nilikulia morio dem bt hakujua 
Sikujua inauma ivo",0,2023-03-21T20:42:05Z
195,@vinescompiled,Nampenda sana😂😂😂😂,0,2023-03-21T14:52:22Z
196,@brianmtuweta281,Ianoh ako mature sana😕,0,2023-03-18T07:56:40Z
197,@brianmtuweta281,Kitu ni uyu Quavo lazima alikuwa anataka kudishi akuna kitu kma iyo😕😕😕 Quavo ni fala💔,0,2023-03-18T07:55:50Z
198,@charleskabucimureithi4551,"Helloo guys i need to know how this boy is progressing.

I urgently need his number.

May be i can assist the dude doing revenge to that motherfucker!

I hate that shiet!",0,2023-03-09T23:28:01Z
199,@CJ-CEO,Wewe Quavo naweza kakushanda faster sana sijui nini mnamskia🤦,0,2023-03-09T13:23:59Z
200,@CJ-CEO,Akikukulia unamshanda 🔫💥💥,0,2023-03-09T13:08:03Z
201,@Bayatheboss,Pluto vyenye unamcheck huyo cheater kana kwamba utamuekelea Kofi 🤣🤣,0,2023-03-08T18:16:06Z
202,@reubenndungu9046,Ambia huyo jamaa wa yellow anitumie no bana naitwa Lavine from kitengela,0,2023-03-06T12:36:14Z
203,@doreenogola,Ogopa marafiki kikulacho kinguoni mwako,0,2023-03-06T05:11:07Z
204,@mumboys,Aki nmefeel ile pain huyu boy anapitia lakini amebehave kama mwanaume alafu pia ni mhandsome kuliko huyo anamkulia manzi,1,2023-03-04T12:31:00Z
205,@petrogreg5082,Pluto to the moon 🌝🌝🌝 nipeni subs 50 tukisonga,0,2023-03-02T14:24:57Z
206,@shymaxmathews5877,"Madem nao acha tu . 
Bros pendaneni na msichukiane.",0,2023-03-01T12:45:40Z
207,@LifeAsMarion,Ngoja...ni self esteem ama self control ju wueeehhh😂,0,2023-02-28T20:01:05Z
208,@everlinebwamu-ku3sq,Iano I'm ready for you man 😍😍🥰🤩,0,2023-02-27T10:52:20Z
209,@brendawamaitha8998,Kudos to iano banaa move on lkn fear women😭,0,2023-02-25T01:21:50Z
210,@احمدالقحطاني-ط9ف,It's soo hurting but take it easy bro n move on you will find the best one,5,2023-02-23T08:15:21Z
211,@lopez6921,Iano i love you men kija tukicomfort huku,0,2023-02-23T01:22:40Z
212,@timothngome7290,PIUTO huyo boy amechitiwa sana soo painfull,0,2023-02-20T13:43:29Z
213,@shadracknyamai6235,I can relate this story lano hugs,0,2023-02-19T16:14:16Z
214,@branner.3,Man inaumaaa!!,0,2023-02-19T04:22:54Z
215,@kadaddy0083,Am single,0,2023-02-16T07:11:28Z
216,@elvissadam6369,Wueh kukuliwa Dem Ni pain manzee heri ubeshte iishe for good,0,2023-02-14T12:35:50Z
217,@robertchisaka927,People still have friends? Laughable,0,2023-02-14T11:57:30Z
218,@christinewairimu1308,This has ever happened to me...and they got married...nikaachwa na bol..😩😩😩,0,2023-02-11T10:24:37Z
219,@ednahmasila2571,The real betrayal,0,2023-02-11T00:36:19Z
220,@neemamukiri6613,You are so cute and young u will the one....I wish I can know how the story is continuing.... 4months ago...,0,2023-02-10T20:30:00Z
221,@Official_S.u.m.m.e.r,Huyu amevunja bro code 😂😅💔,0,2023-02-09T11:43:11Z
222,@jacintambinya3498,"Hae Pluto,ebu tafta kijana iano tujue kuliendaje banah,I felt bad for that guy,wah aki he deserved better",0,2023-02-08T20:28:19Z
223,@evansouma5650,Iano is a grown up guy,0,2023-02-08T17:09:22Z
