author,text,likes,published_at
@ghub254,Bro is out here moving like a Mafia Boss😂😂😂,0,2025-08-04T08:56:28Z
@ghub254,500m Kwani ni campaign😂,0,2025-08-04T08:42:50Z
@WAMBUI-l2b,Nice one,0,2025-08-04T07:46:31Z
@lazarusongidi9523,"Patello - 500m
Obinaa - are
Patello - ivo tu.....😅",0,2025-08-04T06:19:24Z
@bilaleesaleem7626,Mwambie naskia kunyora 😅😅😂😂😂,0,2025-08-03T22:23:03Z
@-shortandsweet,Dee the owner of this emoji😊😊,1,2025-08-03T20:46:46Z
@mukamisilvia7621,Comedy 😂😂😂 they're a vibe❤,1,2025-08-03T19:53:21Z
@lilianwahongo3470,Jambo,0,2025-08-03T19:50:15Z
@LivingstoneAmbwere_King,kenya sihami😆,0,2025-08-03T19:45:59Z
@winnyrichy9141,"Masawe anafaa awatch hii, interview classy...respect iko juu👏",0,2025-08-03T19:06:36Z
@HellenKinuthia-z4q,This show leo n funny sana😂😂😂😂😂,0,2025-08-03T17:28:21Z
@RuthTim-zz9bv,47:31 nimesaidia obizz kucheka eti mchele na kebab😂😂😂,1,2025-08-03T17:13:08Z
@ELEMPIRE-x9t,Tizi gani?😅😂,0,2025-08-03T15:54:48Z
@radgamechanger2547,Invest kwa mics Obina,0,2025-08-03T15:39:00Z
@PstAsborn,❤❤❤❤❤❤❤❤ may the lord protect and bless them..shalom,0,2025-08-03T15:32:08Z
@MyBlessed83,"This guy 😅😅😅😅I have laughed.
His seriousness,  hacheki ..The lady is soo calm and collected na akapata a very open minded man..",0,2025-08-03T15:07:16Z
@michaelwarungu1592,🎉Aki pesa wewe......😂😂😂😂😂😂,0,2025-08-03T14:25:44Z
@LucyNyambura-b6u,"Weeh mambo ni live 
Dee : mechi iko sawa",0,2025-08-03T13:51:24Z
@brianbrian3453,Dee is very beautiful and she really aligns with the hubby. All the best to the duo,0,2025-08-03T13:39:20Z
@summaiyahomwayi5878,Barishosho to the world😂😂❤,0,2025-08-03T12:35:12Z
@washimagede,Nimeskia mancity nika nice lajop bling bwoy,1,2025-08-03T11:11:55Z
@WinfredMusembi,Mengi sumu.,0,2025-08-03T10:48:58Z
@shambenga,natamani siku pia nifike hapa ni wafunze watu kwa nilo pitia na mpaka sai na mpenzi wangu kwa miujiza nilo pata mpaja sai nipo nae,0,2025-08-03T09:46:03Z
@FelistusMusyoki-x1q9e,Zetu zetuuuu😂,0,2025-08-03T09:37:10Z
@johnnduru1402,uongooooo,0,2025-08-03T09:25:29Z
@mwas_38,Tulimpata kitambo 😂😂,0,2025-08-03T07:41:59Z
@Jay42915,Obinna? Can you have a sheng translator for this video? I can hardly understand anything. It's like french.,0,2025-08-03T04:18:37Z
@ZainabMbogo,Very nice 👍,0,2025-08-03T00:12:00Z
@gracenjeriofficial7245,Massawe akuje uku ajifunze kuinterview watu sio iyo upuzi yake,0,2025-08-02T23:06:45Z
@ShakaHillary-n5l,I like the fact that he's started with God,0,2025-08-02T23:01:11Z
@ignatiuskhamz7944,"This is a real G.... 
Ghost 👻",0,2025-08-02T21:30:31Z
@OliverLumbasi-r5v,Wa Sunday mko wapi😂,0,2025-08-02T21:26:02Z
@ignatiuskhamz7944,Big up Sunflower Events @Harrison,0,2025-08-02T21:23:33Z
@cathynyamburanjuguna3803,The Real deal ❤. . His voice sooo deep,0,2025-08-02T20:58:04Z
@ellykiplangat7136,Kuuliza tu huyu mamaz ako mafotheee uko ama Sioni poa,0,2025-08-02T20:37:47Z
@JaredEmitati,Kuma unaamini obina is doing great think dinya hii comment,0,2025-08-02T20:21:42Z
@mecrynkatha9393,❤❤❤  love and  being  loved is the best thing,0,2025-08-02T17:23:39Z
@ednasegita2204,"Watu hutoa wapi pesa hii kenya???

Mimi niko tu kulia kama ambulance weuh weuh weuh",0,2025-08-02T17:14:09Z
